source,url,description,concepts,,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143453,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.","[{""text"":""Addition"",""relevance"":""0.938227"",""dbpedia"":""http://dbpedia.org/resource/Addition"",""freebase"":""http://rdf.freebase.com/ns/m.0gmqy""},{""text"":""Problem solving"",""relevance"":""0.915043"",""dbpedia"":""http://dbpedia.org/resource/Problem_solving"",""freebase"":""http://rdf.freebase.com/ns/m.053w_z""},{""text"":""Subtraction"",""relevance"":""0.909247"",""dbpedia"":""http://dbpedia.org/resource/Subtraction"",""freebase"":""http://rdf.freebase.com/ns/m.0jt6w""},{""text"":""Plus and minus signs"",""relevance"":""0.880267"",""dbpedia"":""http://dbpedia.org/resource/Plus_and_minus_signs"",""freebase"":""http://rdf.freebase.com/ns/m.01khrx""},{""text"":""Integer"",""relevance"":""0.865077"",""dbpedia"":""http://dbpedia.org/resource/Integer"",""freebase"":""http://rdf.freebase.com/ns/m.03rv4"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA""},{""text"":""Real number"",""relevance"":""0.834812"",""dbpedia"":""http://dbpedia.org/resource/Real_number"",""freebase"":""http://rdf.freebase.com/ns/m.06dvm"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvViAmJwpEbGdrcN5Y29ycA""},{""text"":""Elementary arithmetic"",""relevance"":""0.823458"",""dbpedia"":""http://dbpedia.org/resource/Elementary_arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.05b_vw""},{""text"":""0"",""relevance"":""0.796847"",""dbpedia"":""http://dbpedia.org/resource/0_(number)"",""freebase"":""http://rdf.freebase.com/ns/m.089n7"",""opencyc"":""http://sw.opencyc.org/concept/Mx4r2A28ECpeQdeKe9sqeht30A"",""yago"":""http://yago-knowledge.org/resource/0_(number)""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114343A,Apply properties of operations as strategies to add and subtract.,[],,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114343B,Understand subtraction as an unknown-addend problem.,"[{""text"":""Mathematics"",""relevance"":""0.866644"",""dbpedia"":""http://dbpedia.org/resource/Mathematics"",""freebase"":""http://rdf.freebase.com/ns/m.04rjg"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVjHd5wpEbGdrcN5Y29ycA""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114343C,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).","[{""text"":""Elementary arithmetic"",""relevance"":""0.94405"",""dbpedia"":""http://dbpedia.org/resource/Elementary_arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.05b_vw""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114343D,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).","[{""text"":""Addition"",""relevance"":""0.9683"",""dbpedia"":""http://dbpedia.org/resource/Addition"",""freebase"":""http://rdf.freebase.com/ns/m.0gmqy""},{""text"":""Elementary arithmetic"",""relevance"":""0.86558"",""dbpedia"":""http://dbpedia.org/resource/Elementary_arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.05b_vw""},{""text"":""Subtraction"",""relevance"":""0.782"",""dbpedia"":""http://dbpedia.org/resource/Subtraction"",""freebase"":""http://rdf.freebase.com/ns/m.0jt6w""},{""text"":""Plus and minus signs"",""relevance"":""0.7452"",""dbpedia"":""http://dbpedia.org/resource/Plus_and_minus_signs"",""freebase"":""http://rdf.freebase.com/ns/m.01khrx""},{""text"":""Integer"",""relevance"":""0.72591"",""dbpedia"":""http://dbpedia.org/resource/Integer"",""freebase"":""http://rdf.freebase.com/ns/m.03rv4"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA""},{""text"":""Arithmetic"",""relevance"":""0.670763"",""dbpedia"":""http://dbpedia.org/resource/Arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.013sg"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVil8pwpEbGdrcN5Y29ycA""},{""text"":""Negative and non-negative numbers"",""relevance"":""0.663636"",""dbpedia"":""http://dbpedia.org/resource/Negative_and_non-negative_numbers"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rv2r7MpwpEbGdrcN5Y29ycA""},{""text"":""Summation"",""relevance"":""0.5533"",""dbpedia"":""http://dbpedia.org/resource/Summation"",""freebase"":""http://rdf.freebase.com/ns/m.01km84""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143454,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers.","[{""text"":""Addition"",""relevance"":""0.9072"",""dbpedia"":""http://dbpedia.org/resource/Addition"",""freebase"":""http://rdf.freebase.com/ns/m.0gmqy""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114343E,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false.","[{""text"":""Plus and minus signs"",""relevance"":""0.955927"",""dbpedia"":""http://dbpedia.org/resource/Plus_and_minus_signs"",""freebase"":""http://rdf.freebase.com/ns/m.01khrx""},{""text"":""Meaning of life"",""relevance"":""0.684684"",""dbpedia"":""http://dbpedia.org/resource/Meaning_of_life"",""freebase"":""http://rdf.freebase.com/ns/m.053gn"",""yago"":""http://yago-knowledge.org/resource/Meaning_of_life""},{""text"":""Subtraction"",""relevance"":""0.625561"",""dbpedia"":""http://dbpedia.org/resource/Subtraction"",""freebase"":""http://rdf.freebase.com/ns/m.0jt6w""},{""text"":""Integer"",""relevance"":""0.622449"",""dbpedia"":""http://dbpedia.org/resource/Integer"",""freebase"":""http://rdf.freebase.com/ns/m.03rv4"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA""},{""text"":""Addition"",""relevance"":""0.604616"",""dbpedia"":""http://dbpedia.org/resource/Addition"",""freebase"":""http://rdf.freebase.com/ns/m.0gmqy""},{""text"":""Elementary arithmetic"",""relevance"":""0.555007"",""dbpedia"":""http://dbpedia.org/resource/Elementary_arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.05b_vw""},{""text"":""Negative and non-negative numbers"",""relevance"":""0.538344"",""dbpedia"":""http://dbpedia.org/resource/Negative_and_non-negative_numbers"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rv2r7MpwpEbGdrcN5Y29ycA""},{""text"":""Equals sign"",""relevance"":""0.460712"",""dbpedia"":""http://dbpedia.org/resource/Equals_sign"",""freebase"":""http://rdf.freebase.com/ns/m.02hzdj"",""yago"":""http://yago-knowledge.org/resource/Equals_sign""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114343F,Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.,"[{""text"":""Subtraction"",""relevance"":""0.980186"",""dbpedia"":""http://dbpedia.org/resource/Subtraction"",""freebase"":""http://rdf.freebase.com/ns/m.0jt6w""},{""text"":""Integer"",""relevance"":""0.77744"",""dbpedia"":""http://dbpedia.org/resource/Integer"",""freebase"":""http://rdf.freebase.com/ns/m.03rv4"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA""},{""text"":""Addition"",""relevance"":""0.771374"",""dbpedia"":""http://dbpedia.org/resource/Addition"",""freebase"":""http://rdf.freebase.com/ns/m.0gmqy""},{""text"":""Natural number"",""relevance"":""0.720362"",""dbpedia"":""http://dbpedia.org/resource/Natural_number"",""freebase"":""http://rdf.freebase.com/ns/m.05d2f"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVie2ZwpEbGdrcN5Y29ycA""},{""text"":""Negative and non-negative numbers"",""relevance"":""0.701575"",""dbpedia"":""http://dbpedia.org/resource/Negative_and_non-negative_numbers"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rv2r7MpwpEbGdrcN5Y29ycA""},{""text"":""Real number"",""relevance"":""0.683099"",""dbpedia"":""http://dbpedia.org/resource/Real_number"",""freebase"":""http://rdf.freebase.com/ns/m.06dvm"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvViAmJwpEbGdrcN5Y29ycA""},{""text"":""0"",""relevance"":""0.673635"",""dbpedia"":""http://dbpedia.org/resource/0_(number)"",""freebase"":""http://rdf.freebase.com/ns/m.089n7"",""opencyc"":""http://sw.opencyc.org/concept/Mx4r2A28ECpeQdeKe9sqeht30A"",""yago"":""http://yago-knowledge.org/resource/0_(number)""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143456,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,"[{""text"":""Summation"",""relevance"":""0.938227"",""dbpedia"":""http://dbpedia.org/resource/Summation"",""freebase"":""http://rdf.freebase.com/ns/m.01km84""},{""text"":""Real number"",""relevance"":""0.872612"",""dbpedia"":""http://dbpedia.org/resource/Real_number"",""freebase"":""http://rdf.freebase.com/ns/m.06dvm"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvViAmJwpEbGdrcN5Y29ycA""},{""text"":""Addition"",""relevance"":""0.818992"",""dbpedia"":""http://dbpedia.org/resource/Addition"",""freebase"":""http://rdf.freebase.com/ns/m.0gmqy""},{""text"":""Arithmetic"",""relevance"":""0.706592"",""dbpedia"":""http://dbpedia.org/resource/Arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.013sg"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVil8pwpEbGdrcN5Y29ycA""},{""text"":""Array"",""relevance"":""0.627417"",""dbpedia"":""http://dbpedia.org/resource/Array""},{""text"":""Binary relation"",""relevance"":""0.586845"",""dbpedia"":""http://dbpedia.org/resource/Binary_relation"",""freebase"":""http://rdf.freebase.com/ns/m.018yh"",""yago"":""http://yago-knowledge.org/resource/Binary_relation""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143455,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.","[{""text"":""Arithmetic"",""relevance"":""0.897259"",""dbpedia"":""http://dbpedia.org/resource/Arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.013sg"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVil8pwpEbGdrcN5Y29ycA""},{""text"":""Natural number"",""relevance"":""0.888985"",""dbpedia"":""http://dbpedia.org/resource/Natural_number"",""freebase"":""http://rdf.freebase.com/ns/m.05d2f"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVie2ZwpEbGdrcN5Y29ycA""},{""text"":""Elementary arithmetic"",""relevance"":""0.888446"",""dbpedia"":""http://dbpedia.org/resource/Elementary_arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.05b_vw""},{""text"":""Mathematical notation"",""relevance"":""0.826515"",""dbpedia"":""http://dbpedia.org/resource/Mathematical_notation"",""freebase"":""http://rdf.freebase.com/ns/m.01pgxd"",""opencyc"":""http://sw.opencyc.org/concept/Mx4r_oqmUM30EdmAAAACs6hRjg""},{""text"":""Summation"",""relevance"":""0.8188"",""dbpedia"":""http://dbpedia.org/resource/Summation"",""freebase"":""http://rdf.freebase.com/ns/m.01km84""},{""text"":""Group"",""relevance"":""0.782"",""dbpedia"":""http://dbpedia.org/resource/Group_(mathematics)"",""freebase"":""http://rdf.freebase.com/ns/m.04xl4""},{""text"":""Parity"",""relevance"":""0.775428"",""dbpedia"":""http://dbpedia.org/resource/Parity""},{""text"":""Finger counting"",""relevance"":""0.7452"",""dbpedia"":""http://dbpedia.org/resource/Finger_counting"",""freebase"":""http://rdf.freebase.com/ns/m.0280305""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143477,"Interpret products of whole numbers, e.g., interpret 5 ï¿½ï¿½ 7 as the total number of objects in 5 groups of 7 objects each.","[{""text"":""Real number"",""relevance"":""0.910799"",""dbpedia"":""http://dbpedia.org/resource/Real_number"",""freebase"":""http://rdf.freebase.com/ns/m.06dvm"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvViAmJwpEbGdrcN5Y29ycA""},{""text"":""Natural number"",""relevance"":""0.900944"",""dbpedia"":""http://dbpedia.org/resource/Natural_number"",""freebase"":""http://rdf.freebase.com/ns/m.05d2f"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVie2ZwpEbGdrcN5Y29ycA""},{""text"":""Number"",""relevance"":""0.72744"",""dbpedia"":""http://dbpedia.org/resource/Number"",""freebase"":""http://rdf.freebase.com/ns/m.05fwb""},{""text"":""Grammatical number"",""relevance"":""0.70728"",""dbpedia"":""http://dbpedia.org/resource/Grammatical_number"",""freebase"":""http://rdf.freebase.com/ns/m.0bm3p""},{""text"":""Numbers"",""relevance"":""0.677673"",""dbpedia"":""http://dbpedia.org/resource/Numbers""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143478,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ï¿½ï¿½ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each.","[{""text"":""Share"",""relevance"":""0.91136"",""dbpedia"":""http://dbpedia.org/resource/Share_(finance)"",""freebase"":""http://rdf.freebase.com/ns/m.03jzl9"",""yago"":""http://yago-knowledge.org/resource/Share_(finance)""},{""text"":""Number"",""relevance"":""0.886784"",""dbpedia"":""http://dbpedia.org/resource/Number"",""freebase"":""http://rdf.freebase.com/ns/m.05fwb""},{""text"":""Stock market"",""relevance"":""0.8704"",""dbpedia"":""http://dbpedia.org/resource/Stock_market"",""freebase"":""http://rdf.freebase.com/ns/m.0drqp"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rwQr4DJwpEbGdrcN5Y29ycA""},{""text"":""Grammatical number"",""relevance"":""0.862208"",""dbpedia"":""http://dbpedia.org/resource/Grammatical_number"",""freebase"":""http://rdf.freebase.com/ns/m.0bm3p""},{""text"":""Stock"",""relevance"":""0.845824"",""dbpedia"":""http://dbpedia.org/resource/Stock"",""freebase"":""http://rdf.freebase.com/ns/m.077mq"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVivc5wpEbGdrcN5Y29ycA""},{""text"":""Shareholder"",""relevance"":""0.82944"",""dbpedia"":""http://dbpedia.org/resource/Shareholder"",""freebase"":""http://rdf.freebase.com/ns/m.012l_n"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rGQTlOjATQdiJmN-pF9DKuA""},{""text"":""Numbers"",""relevance"":""0.826116"",""dbpedia"":""http://dbpedia.org/resource/Numbers""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143479,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.","[{""text"":""Problem solving"",""relevance"":""0.915043"",""dbpedia"":""http://dbpedia.org/resource/Problem_solving"",""freebase"":""http://rdf.freebase.com/ns/m.053w_z""},{""text"":""Mathematics"",""relevance"":""0.712972"",""dbpedia"":""http://dbpedia.org/resource/Mathematics"",""freebase"":""http://rdf.freebase.com/ns/m.04rjg"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVjHd5wpEbGdrcN5Y29ycA""},{""text"":""Elementary arithmetic"",""relevance"":""0.696613"",""dbpedia"":""http://dbpedia.org/resource/Elementary_arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.05b_vw""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114347B,Apply properties of operations as strategies to multiply and divide.,"[{""text"":""Strategy"",""relevance"":""0.844669"",""dbpedia"":""http://dbpedia.org/resource/Strategy"",""freebase"":""http://rdf.freebase.com/ns/m.07b7r"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvViB_5wpEbGdrcN5Y29ycA""},{""text"":""Karatsuba algorithm"",""relevance"":""0.721745"",""dbpedia"":""http://dbpedia.org/resource/Karatsuba_algorithm"",""freebase"":""http://rdf.freebase.com/ns/m.0g3ts6"",""yago"":""http://yago-knowledge.org/resource/Karatsuba_algorithm""}]",,,,,,
